CFNetwork Version number;OS Version;Darwin Version; Release Date
CFNetwork/711.2.23;iOS 8.2;Darwin/14.0.0;09. Mar 2015
CFNetwork/711.1.16;iOS 8.1.3;Darwin/14.0.0;27. Jan 2015
CFNetwork/711.1.16;iOS 8.1.2;Darwin/14.0.0;09. Dec 2014
CFNetwork/711.1.16;iOS 8.1.1;Darwin/14.0.0;17. Nov 2014
CFNetwork/711.1.12;iOS 8.1.0;Darwin/14.0.0;20. Oct 2014
CFNetwork/711.0.6;iOS 8.0.2;Darwin/14.0.0;25. Sep 2014
CFNetwork/711.0.6;iOS 8.0.1;Darwin/14.0.0;24. Sep 2014
CFNetwork/711.0.6;iOS 8.0;Darwin/14.0.0;17. Sep 2014
CFNetwork/672.1.15;iOS 7.1.2;Darwin/14.0.0;30. Jun 2014
CFNetwork/672.1.14;iOS 7.1.1;Darwin/14.0.0;22. Apr 2014
CFNetwork/672.1.13;iOS 7.1;Darwin/14.0.0;10. Mar 2014
CFNetwork/672.1.12;iOS 7.1-b5;Darwin/14.0.0; 
CFNetwork/672.1.11; ;Darwin/14.0.0; 
CFNetwork/672.1.10; ;Darwin/14.0.0; 
CFNetwork/672.1.9; ;Darwin/14.0.0; 
CFNetwork/672.0.8;iOS 7.0.6;Darwin/14.0.0;21. Feb 2014
CFNetwork/672.0.8;iOS 7.0.5;Darwin/14.0.0;29. Jan 2014
CFNetwork/672.0.8;iOS 7.0.4;Darwin/14.0.0;14. Nov 2013
CFNetwork/672.0.8;iOS 7.0.3;Darwin/14.0.0;22. Oct 2013
CFNetwork/672.0.2;iOS 7.0.2;Darwin/14.0.0;26. Sep 2013
CFNetwork/672.0.2;iOS 7.0.1;Darwin/14.0.0;19. Sep 2013
CFNetwork/672.0.2;iOS 7.0;Darwin/14.0.0;18. Sep 2013
CFNetwork/609.1.4;iOS 6.1.4;Darwin/13.0.0;02. May 2013
CFNetwork/609.1.4;iOS 6.1.3;Darwin/13.0.0;19. Mar 2013
CFNetwork/609.1.4;iOS 6.1.2;Darwin/13.0.0;19. Feb 2013
CFNetwork/609;iOS 6.0.1;Darwin/13.0.0;01. Nov 2012
CFNetwork/609;iOS 6.0;Darwin/13.0.0;19. Sep 2012
CFNetwork/602;iOS 6.0-b3;Darwin/13.0.0;16. Jul 2012
CFNetwork/548.1.4;iOS 5.1;Darwin/11.0.0;07. Mar 2012
CFNetwork/548.0.4;iOS 5.0.1;Darwin/11.0.0;10. Nov 2011
CFNetwork/548.0.3;iOS 5;Darwin/11.0.0;12. Oct 2011
CFNetwork/485.13.9;iOS 4.3.5;Darwin/11.0.0;25. Jul 2011
CFNetwork/485.13.9;iOS 4.3.4;Darwin/11.0.0;15. Jul 2011
CFNetwork/485.13.9;iOS 4.3.3;Darwin/11.0.0;04. May 2011
CFNetwork/485.13.9;iOS 4.3.2;Darwin/11.0.0;15. Apr 2011
CFNetwork/485.13.9;iOS 4.3.1;Darwin/11.0.0;25. Mar 2011
CFNetwork/485.13.9;iOS 4.3;Darwin/11.0.0;09. Mar 2011
CFNetwork/485.12.30;iOS 4.2.8;Darwin/10.4.0;04. May 2011
CFNetwork/485.12.7;iOS 4.2.1;Darwin/10.4.0;22. Nov 2010
CFNetwork/485.10.2;iOS 4.1;Darwin/10.3.1;08. Sep 2010
CFNetwork/485.2;iOS 4;Darwin/10.3.1;21. Jun 2010
CFNetwork/459;iOS 3.1.3;Darwin/10.0.0d3;02. Feb 2010
